temp,KR,number
20.9,101,195
20.8,99,195
20.7,99,195
20.6,99,195
20.1,94,195
20.0,92,195
19.9,92,195
20.8,46,196
20.9,44,196
19.5,61,196
19.2,58,196
19.6,60,196
19.7,60,196
19.8,60,196
19.9,59,196
20.0,59,196
20.1,58,196
20.2,58,196
20.3,56,196
20.4,54,196
20.5,51,196
20.6,49,196
20.7,48,196
19.1,56,196
19.4,60,196
19.3,58,196
20.7,116,197
20.9,116,197
20.8,115,197
19.5,120,197
19.6,122,197
19.7,123,197
19.8,123,197
19.9,122,197
20.0,123,197
20.1,121,197
20.2,120,197
20.3,118,197
20.4,118,197
20.5,118,197
20.6,118,197
19.1,116,197
19.2,118,197
19.3,120,197
19.4,119,197
19.2,69,198
19.1,68,198
19.4,72,198
19.5,74,198
19.6,75,198
19.3,71,198
19.8,77,198
19.9,81,198
20.0,81,198
20.1,82,198
20.2,84,198
19.7,75,198
20.4,87,198
20.3,84,198
20.6,88,198
20.7,89,198
20.8,91,198
20.9,92,198
20.5,88,198
19.2,122,200
19.7,119,200
20.0,120,200
19.4,120,200
19.3,120,200
20.7,116,200
19.5,120,200
19.1,121,200
19.6,121,200
20.9,115,200
20.8,116,200
20.2,120,200
20.3,117,200
20.5,118,200
20.4,116,200
19.9,119,200
20.1,118,200
19.8,119,200
20.6,116,200
20.4,125,202
20.3,126,202
19.6,133,202
19.1,132,202
19.2,133,202
19.4,132,202
19.3,131,202
19.5,134,202
20.8,118,202
20.7,119,202
19.7,132,202
19.8,132,202
20.1,128,202
20.2,127,202
19.9,132,202
20.0,128,202
20.9,117,202
20.6,121,202
20.5,123,202
20.7,25,203
20.8,24,203
19.1,39,203
19.2,39,203
19.3,38,203
20.4,27,203
19.4,38,203
19.5,39,203
19.6,39,203
19.8,31,203
19.7,36,203
19.9,32,203
20.0,33,203
20.6,25,203
20.1,33,203
20.2,32,203
20.3,29,203
20.5,25,203
20.9,24,203
20.5,133,205
20.4,132,205
20.7,131,205
20.6,132,205
20.2,132,205
20.3,130,205
20.0,133,205
19.9,133,205
19.8,130,205
20.1,131,205
19.7,131,205
19.6,131,205
19.4,132,205
19.5,132,205
19.3,131,205
19.2,132,205
19.1,129,205
