CV_MC,rCV_MAD_MC,avg_MC,mean_MC,median_MC,std_MC,var_MC,amplitude_MC,CV_CQ,rCV_MAD_CQ,avg_CQ,mean_CQ,median_CQ,std_CQ,var_CQ,amplitude_CQ,CV_NRMSE
0.032050888,0.038884823,4.063928232,4.063928232,4.067658791,0.130252508,0.016965716,0.487990852,0.059751223,0.05594717,52.89473684,52.89473684,53,3.16052522,9.988919668,14,0.078148885
0.262217543,0.199588252,2.478515426,2.478515426,2.230416756,0.649910226,0.422383302,2.654968382,0.021735656,0.011674016,127.9473684,127.9473684,127,2.781019961,7.734072022,12,0.397605035
0.032024135,0.028080081,5.170889909,5.170889909,5.106589123,0.165593275,0.027421133,0.549954658,0.016969369,0.014394175,102.2105263,102.2105263,103,1.734448111,3.008310249,7,0.016406814
0.46009831,0.63606795,1.258375889,1.258375889,1.244524712,0.57897662,0.335213927,1.874491611,0.176910957,0.16272439,78.15789474,78.15789474,82,13.82698794,191.1855956,46,0.00577437
0.041978441,0.048836275,4.903119814,4.903119814,4.992685758,0.205825327,0.042364065,0.576049062,0.040668554,0.05594717,106.1052632,106.1052632,106,4.315147577,18.62049861,15,0.010142922
0.120471829,0.09101283,4.003933425,4.003933425,4.215976975,0.482361184,0.232672312,1.750730222,0.151890696,0.164733333,18.15789474,18.15789474,18,2.758015265,7.606648199,9,0.422889707
0.015360666,0.016488244,4.953608645,4.953608645,4.969617055,0.07609073,0.005789799,0.293551927,0.037570748,0.039015789,38.21052632,38.21052632,38,1.435598073,2.060941828,5,0.192744364
0.029513537,0.026936745,5.242876814,5.242876814,5.261294308,0.154735841,0.02394318,0.580171263,0.047561002,0.037065,40.05263158,40.05263158,40,1.904943271,3.628808864,8,0.141069716
0.033740795,0.050082724,5.16416518,5.16416518,5.158924178,0.174243041,0.030360637,0.560092981,0.057809647,0.04942,29.10526316,29.10526316,30,1.682564986,2.831024931,7,0.203783777
0.013489214,0.007937841,5.356719265,5.356719265,5.371187628,0.072257935,0.005221209,0.310218601,0.126051968,0.172395349,43.68421053,43.68421053,43,5.506480695,30.32132964,18,0.56971523
0.029721828,0.034080559,4.294420278,4.294420278,4.314989177,0.127638023,0.016291465,0.408325453,0.060362763,0.088956,50.52631579,50.52631579,50,3.049908041,9.301939058,10,0.618051304
0.030248567,0.035577462,5.265177024,5.265177024,5.269197468,0.159264057,0.02536504,0.539570756,0.068970606,0.076030769,37.89473684,37.89473684,39,2.613622951,6.831024931,8,0.21250514
0.024477838,0.026327912,5.244454464,5.244454464,5.300287041,0.128372905,0.016479603,0.427911676,0.066821751,0.0706,21.10526316,21.10526316,21,1.410290632,1.988919668,5,0.64592994
0.034576376,0.046041693,4.87286303,4.87286303,4.898506556,0.168485945,0.028387514,0.573305893,3.536638588,4.4478,0.842105263,0.842105263,1,2.978221969,8.869806094,11,0.341898774
0.022617227,0.015126602,5.444717156,5.444717156,5.510507157,0.123144403,0.015164544,0.339244703,0.07334934,0.067390909,44.68421053,44.68421053,44,3.277557364,10.74238227,9,0.344965689
0.051007567,0.074859066,5.090417683,5.090417683,5.075235948,0.259649822,0.06741803,0.791271163,0.028244692,0.0353,42.73684211,42.73684211,42,1.207088941,1.457063712,4,0.364557042
0.028602726,0.04480877,5.267759963,5.267759963,5.280618302,0.150672294,0.02270214,0.484048946,0.09902613,0.089854545,31.63157895,31.63157895,33,3.132352846,9.811634349,11,0.361552478
0.037362521,0.033796779,4.739216832,4.739216832,4.731808205,0.177069088,0.031353462,0.645112995,1.477546128,1.9768,3.263157895,3.263157895,3,4.821466312,23.2465374,16,0.378774587
0.071155028,0.034769613,5.020009219,5.020009219,5.141310611,0.357198895,0.12759105,1.308401346,0.055845633,0.05295,28.21052632,28.21052632,28,1.575434689,2.48199446,5,0.240994734
0.030257771,0.035577518,5.265205767,5.265205767,5.269197524,0.159313388,0.025380756,0.539571103,0.068970606,0.076030769,37.89473684,37.89473684,39,2.613622951,6.831024931,8,0.212505147
0.083063162,0.100448561,4.627748491,4.627748491,4.64535109,0.384395421,0.14775984,1.199757925,0.123160547,0.0926625,15.63157895,15.63157895,16,1.925193806,3.706371191,6,0.194665051
0.014416084,0.017031797,5.370660613,5.370660613,5.368166705,0.077423896,0.00599446,0.252941275,0.087158773,0.057023077,26.21052632,26.21052632,26,2.284477307,5.218836565,9,0.158112685
0.034313074,0.036586557,4.612884293,4.612884293,4.625208917,0.15828224,0.025053267,0.539155206,0.115919628,0.14826,40.73684211,40.73684211,40,4.722199591,22.29916898,16,0.097232414
0.033966966,0.026669,4.30214889,4.30214889,4.330039413,0.146130946,0.021354253,0.518376101,0.199823255,0.223788679,51.26315789,51.26315789,53,10.24357105,104.9307479,33,0.051895777
