temp,CQ,number
20.0,116,200
19.4,117,200
19.3,116,200
20.7,111,200
19.5,117,200
19.1,118,200
19.6,116,200
20.9,111,200
20.8,112,200
20.2,117,200
20.3,114,200
20.5,115,200
20.4,113,200
19.9,116,200
20.1,115,200
19.8,116,200
20.6,112,200
20.4,30,202
20.3,29,202
19.6,39,202
19.1,40,202
19.2,39,202
19.4,37,202
19.3,38,202
19.5,40,202
20.8,33,202
20.7,30,202
19.7,37,202
19.8,38,202
20.1,35,202
20.2,33,202
19.9,38,202
20.0,33,202
20.9,30,202
20.6,30,202
20.5,31,202
20.7,1,203
20.8,2,203
19.1,2,203
19.2,4,203
19.3,2,203
20.4,2,203
19.4,3,203
19.5,4,203
19.6,3,203
19.8,-2,203
19.7,3,203
19.9,1,203
20.0,1,203
20.6,2,203
20.1,1,203
20.2,2,203
20.3,1,203
20.5,0,203
20.9,3,203
20.5,127,205
20.4,125,205
20.7,123,205
20.6,124,205
20.2,126,205
20.3,125,205
20.0,127,205
19.9,127,205
19.8,123,205
20.1,126,205
19.7,125,205
19.6,125,205
19.4,126,205
19.5,125,205
19.3,126,205
19.2,124,205
19.1,124,205
20.8,124,205
20.9,120,205
20.5,119,207
20.3,119,207
20.4,118,207
19.9,117,207
19.8,116,207
19.7,114,207
20.0,116,207
19.5,116,207
19.4,114,207
19.3,114,207
19.2,112,207
19.1,113,207
20.2,117,207
20.1,115,207
19.6,115,207
20.6,117,207
20.7,121,207
20.8,120,207
20.9,122,207
19.7,140,211
19.6,139,211
19.5,137,211
19.4,136,211
19.3,138,211
19.2,138,211
20.0,138,211
20.1,137,211
20.5,137,211
20.4,140,211
20.3,138,211
20.2,140,211
20.9,143,211
19.8,140,211
19.1,140,211
19.9,140,211
20.7,139,211
20.8,142,211
20.6,140,211
19.8,109,215
20.4,108,215
20.1,108,215
20.0,110,215
20.9,114,215
19.7,102,215
20.5,111,215
20.3,111,215
19.9,110,215
20.2,114,215
20.8,114,215
20.7,113,215
20.6,112,215
19.1,104,215
19.6,108,215
19.5,107,215
19.4,105,215
19.2,107,215
19.3,100,215
19.3,89,218
19.2,86,218
19.9,91,218
19.8,90,218
20.7,103,218
20.9,100,218
20.3,96,218
20.6,99,218
20.8,102,218
20.5,98,218
19.5,89,218
19.4,89,218
19.7,90,218
19.6,90,218
20.1,95,218
20.2,95,218
19.1,87,218
20.4,100,218
20.0,94,218
20.4,132,219
20.2,127,219
20.1,131,219
20.0,132,219
20.3,132,219
20.8,131,219
20.7,134,219
19.1,129,219
20.5,131,219
20.9,133,219
19.2,127,219
19.3,126,219
19.4,129,219
19.5,126,219
19.6,128,219
19.7,130,219
19.8,129,219
19.9,128,219
20.6,133,219
19.5,128,220
20.2,129,220
19.4,129,220
19.7,131,220
20.9,128,220
19.6,132,220
20.1,128,220
19.8,129,220
19.3,131,220
19.9,130,220
19.2,129,220
19.1,129,220
20.3,128,220
20.7,129,220
20.0,130,220
20.6,129,220
20.8,130,220
20.5,128,220
20.4,126,220
20.0,137,221
19.9,136,221
20.4,137,221
20.1,139,221
19.5,137,221
19.4,139,221
19.3,137,221
