number,values,param_gamma,param_theta,param_m0,param_beta_prime,attr_gamma,attr_m0,attr_theta
191,"[0.8971156506875878, 1.4188441178336761]",0.0709821680356578,0.4716691215236688,0.0059477870480286,48.33913374733706,0.0709821680356578,0.0059477870480286,0.4716691215236688
155,"[0.6693705170306331, 1.1680797699508474]",0.0808420594906775,0.0912828638410711,0.0063206813962279,28.162552883539803,0.0808420594906775,0.0063206813962279,0.0912828638410711
111,"[1.0221311907171964, 1.0779128299348426]",0.4789594882924443,0.2282673203696661,0.0013163262093501,22.70866682469327,0.4789594882924443,0.0013163262093501,0.2282673203696661
48,"[1.068422737501834, 1.112898816403741]",0.3164839336990961,0.2029087117658796,0.0068003389735263,30.246507715313182,0.3164839336990961,0.0068003389735263,0.2029087117658796
174,"[1.016227788292146, 1.0540672491256]",0.2014864747419649,0.4264371597181579,0.0013163262093501,22.70866682469327,0.2014864747419649,0.0013163262093501,0.4264371597181579
43,"[1.046610691904759, 1.1740789176617135]",0.4007552113142397,0.5775031047839656,0.0044697851956389,22.486799062309306,0.4007552113142397,0.0044697851956389,0.5775031047839656
277,"[0.8494660472158739, 0.9243798525240366]",0.0746925548947409,0.0351534246215858,0.0021227806993416,27.27676956041128,0.0746925548947409,0.0021227806993416,0.0351534246215858
193,"[1.0069765796947312, 1.021952746762441]",0.3803442425792067,0.0619771060822108,0.00691791864196,27.72185952247249,0.3803442425792067,0.00691791864196,0.0619771060822108
166,"[0.6643523368396459, 2.234648739384532]",0.068413717577029,0.2493991307629331,0.0072732858955437,29.57589036904277,0.068413717577029,0.0072732858955437,0.2493991307629331
151,"[1.0774402837685926, 1.1348502344079956]",0.4845834376838983,0.199175961080275,0.0033454983039011,34.85827546580307,0.4845834376838983,0.0033454983039011,0.199175961080275
60,"[1.0080828192253004, 1.0364777255795203]",0.4845834376838983,0.0619771060822108,0.0033454983039011,28.162552883539803,0.4845834376838983,0.0033454983039011,0.0619771060822108
