number,values,param_gamma,param_theta,param_m0,param_n_instances,param_size_inst_0,param_weight_inst_0,param_size_inst_1,param_weight_inst_1,param_size_inst_2,param_weight_inst_2,param_size_inst_3,param_weight_inst_3,param_size_inst_4,param_weight_inst_4,param_size_inst_5,param_weight_inst_5,param_size_inst_6,param_weight_inst_6,attr_custom_sizes,attr_gamma,attr_m0,attr_n_instances,attr_theta,attr_weights
137,"[0.6810751581281419, 1.2041094167057318]",0.148265166,0.090752899,0.00636534,7,37.23533237,0.811968443,15.7490152,0.172859245,34.52782149,0.606224188,20.63264319,0.954117787,17.18730841,0.738826849,33.39441208,0.919219782,22.02987543,0.564282354,"[37.235332370708505, 15.749015197915853, 34.52782149387204, 20.63264319457467, 17.18730841394658, 33.39441208274194, 22.029875428132428]",0.148265166,0.00636534,7,0.090752899,"[0.1703133032610703, 0.03625784881292694, 0.12715770537148322, 0.20012963971895759, 0.15497159058530272, 0.1928096575257118, 0.11836025472454738]"
140,"[0.87685882797835, 0.8924687943140511]",0.030289273,0.408587134,0.004785058,6,31.52604366,0.605749082,17.76516992,0.235398106,30.56735473,0.628083371,38.61079542,0.400080676,31.06955412,0.973029512,38.16560213,0.23206871,,,"[31.52604366410388, 17.76516992338528, 30.567354731257822, 38.61079542376972, 31.06955412459094, 38.1656021296418]",0.030289273,0.004785058,6,0.408587134,"[0.197029410103433, 0.07656693391927892, 0.20429398880790525, 0.13013252856052493, 0.31649314299748854, 0.07548399561136936]"
142,"[0.5664792403453596, 1.0886379683901972]",0.135831068,0.590923124,0.004930962,5,20.77308379,0.73196788,34.85504682,0.016330656,27.14280693,0.436983944,20.89431403,0.783796785,39.27090912,0.01471717,,,,,"[20.773083794771086, 34.85504682455327, 27.142806927723132, 20.894314031399517, 39.27090911606638]",0.135831068,0.004930962,5,0.590923124,"[0.36897328115979233, 0.008232021918420436, 0.22027660522641365, 0.3950994022341092, 0.0074186894612643635]"
143,"[0.6089479836988176, 1.2762806152234234]",0.134606397,0.407450694,0.007519579,7,28.5191187,0.782733998,36.78079858,0.943459646,24.30621778,0.638208208,19.61358846,0.982815727,29.29565772,0.549753218,36.2411065,0.719029081,27.74575907,0.624011615,"[28.51911869871327, 36.780798575590715, 24.306217776719876, 19.61358845662515, 29.29565771555707, 36.241106501838516, 27.745759067417634]",0.134606397,0.007519579,7,0.407450694,"[0.149376389505228, 0.18004915591122408, 0.12179519245940591, 0.18755984176253118, 0.10491450620479115, 0.13721898929016138, 0.11908592486665831]"
144,"[0.8525937581348603, 0.8858382560141616]",0.03820258,0.258741778,0.002959721,6,23.73339793,0.73196788,37.65371215,0.301602426,18.5337426,0.698322303,29.05771695,0.019658658,34.34336479,0.117513034,35.09889439,0.983192793,,,"[23.733397932696953, 37.65371214887268, 18.53374259924692, 29.057716953313374, 34.343364786993504, 35.09889439395812]",0.03820258,0.002959721,6,0.258741778,"[0.2566275955568101, 0.10574166911968784, 0.24483147210570574, 0.006892316408763911, 0.04120001451168882, 0.3447069322973436]"
146,"[0.9469391617855674, 0.9675132788022922]",0.135831068,0.075288313,0.004930962,2,26.46022575,0.68356569,33.42444064,0.765453912,,,,,,,,,,,"[26.46022574720999, 33.424440635200455]",0.135831068,0.004930962,2,0.075288313,"[0.4717435770794936, 0.5282564229205065]"
149,"[0.7582496693240229, 0.8587960933398272]",0.175651093,0.052357984,0.002325408,7,31.57487166,0.388906743,20.56609502,0.915040825,17.55107127,0.818699774,16.90857182,0.082667442,22.75983251,0.938997669,34.30885436,0.430332017,32.19345108,0.421553276,"[31.574871662367023, 20.56609502338657, 17.551071265724687, 16.90857182103028, 22.75983250922424, 34.30885436433132, 32.19345108264116]",0.175651093,0.002325408,7,0.052357984,"[0.09731919390168842, 0.22897786424643002, 0.20486968510498169, 0.020686524412122608, 0.2349727737951697, 0.10768536599657792, 0.1054885925430296]"
150,"[0.7126773659727099, 1.1103627219021202]",0.135831068,0.051611089,0.004930962,6,20.77308379,0.73196788,34.85504682,0.851271239,31.4453786,0.393307343,17.74189168,0.682793201,23.95867169,0.163617612,30.28360383,0.607394143,,,"[20.773083794771086, 34.85504682455327, 31.44537860267165, 17.741891682925743, 23.958671693478646, 30.28360383460083]",0.135831068,0.004930962,6,0.051611089,"[0.21337985255360498, 0.2481586098149285, 0.11465511708451556, 0.1990446801520685, 0.04769704097628519, 0.17706469941859723]"
153,"[0.8290600396962448, 0.8637156366290041]",0.089171038,0.420381746,0.001326592,2,25.61840145,0.597061654,15.7196479,0.189772598,,,,,,,,,,,"[25.61840145128514, 15.719647904415593]",0.089171038,0.001326592,2,0.420381746,"[0.7588150264870804, 0.2411849735129196]"
154,"[0.844789269790261, 1.7672261421363982]",0.089171038,0.512197797,0.001975369,2,15.71301311,0.107226046,15.60213272,0.189772598,,,,,,,,,,,"[15.71301310745307, 15.602132722384843]",0.089171038,0.001975369,2,0.512197797,"[0.3610321054291724, 0.6389678945708276]"
156,"[0.683823226653975, 1.0748483774478932]",0.135831068,0.590923124,0.004930962,4,38.91316606,0.966443706,33.7739004,0.765453912,19.82828752,0.568876522,27.1943034,0.742352575,,,,,,,"[38.913166064025205, 33.77390039620012, 19.82828752469996, 27.194303396781272]",0.135831068,0.004930962,4,0.590923124,"[0.31758247234076087, 0.251535339709174, 0.18693816434042684, 0.2439440236096383]"
159,"[0.8019630312640859, 1.3646323254579125]",0.074014245,0.590923124,0.006199747,5,25.61840145,0.952238952,34.85504682,0.505674699,18.27880285,0.086468424,21.71257139,0.198980814,18.30565656,0.678470258,,,,,"[25.61840145128514, 34.85504682455327, 18.278802850063414, 21.712571391215857, 18.30565655838062]",0.074014245,0.006199747,5,0.590923124,"[0.3931893296715026, 0.20879832279672902, 0.0357037081806772, 0.08216123975244372, 0.2801473995986475]"
160,"[0.8230186649374814, 1.2227110358335416]",0.089171038,0.457028577,0.003871057,7,25.61840145,0.358951008,17.71011615,0.505674699,31.31163248,0.108121699,30.47605113,0.632350356,17.62445869,0.180861943,23.57317799,0.311256316,21.83940397,0.082687343,"[25.61840145128514, 17.71011614872505, 31.311632477246338, 30.476051127050116, 17.624458688937786, 23.573177991535278, 21.839403969881825]",0.089171038,0.003871057,7,0.457028577,"[0.16466372518284964, 0.2319711541219776, 0.049599308183414875, 0.2900818293534442, 0.08296787209773764, 0.14278445596688757, 0.037931655093688545]"
166,"[0.8801702007678889, 0.8916774501212085]",0.030289273,0.408587134,0.002463835,7,29.19250929,0.811968443,15.7490152,0.329740637,36.50214454,0.249221675,32.86860549,0.025942711,28.81148436,0.034994623,30.30475087,0.990580265,31.38133688,0.43110982,"[29.19250929258306, 15.749015197915853, 36.50214453884328, 32.86860548821073, 28.81148436313414, 30.304750873373575, 31.381336881891677]",0.030289273,0.002463835,7,0.408587134,"[0.2825655141884361, 0.11474994321669846, 0.08672929525691678, 0.009028079160456535, 0.012178150269027655, 0.34472253730570795, 0.1500264806027566]"
169,"[0.6880852006148985, 1.853831274295442]",0.148265166,0.512197797,0.00380832,7,24.99225577,0.107226046,15.60213272,0.172859245,34.11549502,0.044194854,17.3129922,0.418570088,29.20305202,0.565672604,21.12385518,0.732484512,16.96645294,0.303410675,"[24.992255772397783, 15.602132722384843, 34.115495017129795, 17.31299219575304, 29.20305201661138, 21.12385517778599, 16.96645294017059]",0.148265166,0.00380832,7,0.512197797,"[0.04573674349110179, 0.07373226252061925, 0.018851098199363616, 0.17853901626357832, 0.24128487240425495, 0.31243767326003713, 0.1294183338610451]"
172,"[0.9875026356403774, 0.9993687187413209]",0.175651093,0.185522134,0.002325408,7,31.57487166,0.716919202,20.56609502,0.61892436,29.51042997,0.922711455,31.49449059,0.79195419,39.64364983,0.855539524,22.41083181,0.469441414,24.20269417,0.461313962,"[31.574871662367023, 20.56609502338657, 29.510429974610275, 31.49449059394404, 39.64364983278463, 22.41083180956396, 24.202694172849853]",0.175651093,0.002325408,7,0.185522134,"[0.14822167404204112, 0.12796142794812213, 0.1907688288024462, 0.163735014445522, 0.17688116062540166, 0.09705611471983674, 0.09537577941663021]"
173,"[0.8417156600127167, 0.8914890849501366]",0.063400363,0.151309064,0.003950256,7,18.38617027,0.388906743,33.7739004,0.915040825,24.61821559,0.77977931,19.59850989,0.537531017,38.72260263,0.167717372,37.54637829,0.594175724,35.3408546,0.968932502,"[18.386170271815704, 33.77390039620012, 24.618215585046663, 19.59850988639755, 38.72260262957143, 37.54637828798562, 35.34085460003452]",0.063400363,0.003950256,7,0.151309064,"[0.08936104833922978, 0.21025350884234803, 0.17917379370957953, 0.12351119122639487, 0.03853725984474237, 0.13652672908462535, 0.22263646895308]"
176,"[0.8197802450822846, 1.4038648726147247]",0.063400363,0.590923124,0.004930962,6,20.77308379,0.966443706,16.26160947,0.765453912,36.93573947,0.901804223,33.96052088,0.016528368,16.75593558,0.949881913,19.13563113,0.394915337,,,"[20.773083794771086, 16.261609474593964, 36.93573947151032, 33.96052087774557, 16.755935581436464, 19.13563112617955]",0.063400363,0.004930962,6,0.590923124,"[0.24191165533257697, 0.1916016647744905, 0.22573167072080155, 0.004137235167677172, 0.23776605372859272, 0.09885172027586114]"
180,"[0.7972923163389841, 3.9808716767523475]",0.097634765,0.408587134,0.002463835,6,19.16022054,0.811968443,24.19323757,0.172859245,36.92461145,0.650597742,33.12787956,0.988693689,24.52455774,0.976567387,25.61259395,0.676819809,,,"[19.160220538592025, 24.19323757308625, 36.924611446016904, 33.127879555384474, 24.52455773634712, 25.612593946374552]",0.097634765,0.002463835,6,0.408587134,"[0.1898228507402286, 0.040411219156661154, 0.1520974357992527, 0.23113786777235867, 0.22830296784290316, 0.15822765868859565]"
184,"[0.8699183145703084, 1.1103621668922]",0.148265166,0.407450694,0.007480729,4,28.5191187,0.782733998,24.30021738,0.449237525,23.69075354,0.297446368,23.51048552,0.262921869,,,,,,,"[28.51911869871327, 24.30021738324406, 23.690753540289627, 23.51048551673077]",0.148265166,0.007480729,4,0.407450694,"[0.43671072596167826, 0.2506430615735119, 0.16595423199760506, 0.1466919804672048]"
185,"[0.789628736439137, 2.5259342893472527]",0.175651093,0.151309064,0.002325408,7,24.05814451,0.388906743,20.56609502,0.444351895,37.53694885,0.401559108,38.95676815,0.835552788,17.34174063,0.342430272,39.53784113,0.612300431,21.81414734,0.300211259,"[24.058144508324965, 20.56609502338657, 37.53694885335091, 38.95676814525319, 17.341740630343303, 39.53784112838288, 21.81414733851429]",0.175651093,0.002325408,7,0.151309064,"[0.11695344237907318, 0.13362710877080217, 0.12075830719444687, 0.2512704562526315, 0.10297686971576955, 0.18413320002258046, 0.09028061566469626]"
